car_model,year,model,version,door_count,nr_seats,color,gearbox,engine_capacity,engine_power,transmission,fuel_type,body_type,new_used,mileage,no_accident,country_origin,has_registration,registered,price
acura,2019,Inny,,4,5,Biały,Automatyczna,3 471 cm3,320 KM,Na przednie koła,Benzyna,Sedan,Używany,37 000 km,,Stany Zjednoczone,Tak,Tak,120 000
acura,2002,MDX,3.5 V6 Base,5,7,Czarny,Automatyczna,3 500 cm3,240 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,210 000 km,,,Tak,,14 990
acura,2006,TL,3.2,4,5,Granatowy,Automatyczna,3 210 cm3,258 KM,Na przednie koła,Benzyna,Sedan,Używany,174 875 km,,,Tak,,15 500
acura,2014,MDX,3.7 V6 Base,5,7,Bordowy,Automatyczna,3 664 cm3,300 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,184 000 km,,Stany Zjednoczone,Tak,,108 000
acura,2013,Inny,,4,,Granatowy,Automatyczna,1 997 cm3,156 KM,,Benzyna,Sedan,Używany,16 771 km,,,Tak,,50 000
acura,2021,RDX,,5,5,Czarny,Automatyczna,1 996 cm3,272 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,55 000 km,,,Tak,Tak,148 000
acura,2003,TL,3.2,4,5,Srebrny,Automatyczna,3 210 cm3,225 KM,Na przednie koła,Benzyna,Sedan,Używany,83 460 km,,,Tak,,19 600
acura,2017,MDX,3.7 V6 Base,5,7,Biały,Automatyczna,3 664 cm3,300 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,130 173 km,Tak,Kanada,Tak,Tak,158 000
acura,2022,RDX,,5,,Srebrny,Automatyczna,1 996 cm3,272 KM,,Benzyna,SUV,Używany,69 500 km,,Stany Zjednoczone,Tak,Tak,175 000
acura,2016,RDX,,5,5,Srebrny,Automatyczna,3 471 cm3,279 KM,,Benzyna,SUV,Używany,122 500 km,,Stany Zjednoczone,Tak,Tak,78 000
acura,2014,MDX,,5,7,Biały,Automatyczna,3 664 cm3,300 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,118 000 km,,,Tak,,112 900
acura,2012,TSX,,4,5,Szary,Automatyczna,2 354 cm3,201 KM,,Benzyna,Sedan,Używany,138 000 km,Tak,Stany Zjednoczone,Tak,Tak,32 900
acura,2019,RDX,,5,5,Czarny,Automatyczna,1 996 cm3,272 KM,4x4 (dołączany automatycznie),Benzyna,SUV,Używany,118 000 km,Tak,Stany Zjednoczone,Tak,Tak,139 000
acura,1997,CL,3.0,2,5,Srebrny,Automatyczna,2 999 cm3,203 KM,Na przednie koła,Benzyna+LPG,Coupe,Używany,366 540 km,,Kanada,Tak,,22 900
acura,2012,TSX,,4,5,Biały,Automatyczna,2 354 cm3,201 KM,Na przednie koła,Benzyna+LPG,Auta miejskie,Używany,212 000 km,,Polska,Tak,Tak,35 000
aixam,2022,Inny,,3,2,Czarny,Automatyczna,,20 KM,,Elektryczny,Auta małe,Używany,4 950 km,Tak,Niemcy,,,11 999
aixam,2018,Crossline,,2,,Szary,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,48 000 km,,,,,31 900
aixam,2009,City,,3,2,Biały,Automatyczna,523 cm3,4 KM,Na przednie koła,Diesel,Auta małe,Używany,29 000 km,,,Tak,Tak,15 999
aixam,2024,Coupe,,3,2,Czarny,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,7 000 km,,,,Tak,47 900
aixam,2009,Crossline,,2,2,Srebrny,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,90 944 km,,Francja,Tak,Tak,15 900
aixam,2017,Crossline,,2,4,Granatowy,Automatyczna,599 cm3,15 KM,,Diesel,Auta małe,Używany,20 290 km,,,,,59 500
aixam,2017,Crossline,,3,,Granatowy,Automatyczna,599 cm3,21 KM,,Diesel,Auta małe,Używany,25 000 km,,,Tak,,53 950
aixam,2022,City,,2,,Czerwony,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,6 002 km,,,,,39 900
aixam,2016,City,,3,2,Niebieski,Automatyczna,635 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,40 000 km,Tak,,,Tak,34 500
aixam,2013,A751,,2,,Srebrny,Automatyczna,523 cm3,4 KM,,Diesel,Auta małe,Używany,24 578 km,,,Tak,,31 500
aixam,2001,Inny,,3,2,Biały,Automatyczna,400 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,47 830 km,Tak,Polska,Tak,Tak,9 200
aixam,2021,City,,3,2,Biały,Automatyczna,498 cm3,5 KM,Na przednie koła,Diesel,Auta małe,Używany,22 000 km,Tak,,,Tak,34 500
aixam,2022,Coupe,,2,,Biały,Automatyczna,482 cm3,8 KM,,Diesel,Auta małe,Używany,6 000 km,,,,,41 900
aixam,2018,City,,3,2,Biały,Automatyczna,479 cm3,8 KM,Na przednie koła,Diesel,Auta małe,Używany,40 000 km,Tak,,,Tak,27 500
